Scene_Number,Image_Filename,Duration,Voiceover_ZH,Image_Prompt_EN_Full,Image_Prompt_ZH_Full,Motion_Prompt_EN,Motion_Prompt_ZH
1,scene_01.png,8 秒 (0 - 8秒),在油價高漲的時代，每次踩下油門，您是否也在心疼燃油車那無底洞般的油錢與稅金？,"A stressed Taiwanese driver looking at a glowing neon gas station sign in rainy Taipei at dusk, showing high fuel prices. Depressive cold blue color tone, cinematic composition. Sleek cinematic lighting, premium dark tech theme, electric blue and emerald green neon highlights, hyper-realistic, professional color grading, shot on 35mm anamorphic lens.",一位面露壓抑與壓力的台灣司機，在黃昏下雨的台北街頭，看著加油站看板上跳動的高油價霓虹燈。抑鬱的冷藍色調，電影感構圖。。極具質感的電影級光影、高階暗色科技主題、電光藍與翡翠綠的霓虹高光、極致寫實、專業色彩分級、35mm 變形鏡頭拍攝。,"Slow camera zoom in on the driver's anxious expression, soft rain falling on the windshield, shallow depth of field.",鏡頭緩慢向司機焦慮的表情拉近，雨滴輕柔落在擋風玻璃上，呈現淺景深效果。
2,scene_02.png,8 秒 (8 - 16秒),想換電動車，卻因為大樓無法安裝充電樁，或是對續航力感到焦慮而裹足不前？,"An empty concrete parking spot in a typical Taiwanese apartment basement garage. A disappointed man standing next to the blank wall, gesturing with worry. Sleek cinematic lighting, premium dark tech theme, electric blue and emerald green neon highlights, hyper-realistic, professional color grading, shot on 35mm anamorphic lens.",一個典型的台灣公寓地下室停車場中空無一物的車位。一位失望的男子站在空白的牆壁旁，面露擔憂地比著手勢。。極具質感的電影級光影、高階暗色科技主題、電光藍與翡翠綠的霓虹高光、極致寫實、專業色彩分級、35mm 變形鏡頭拍攝。,"Slow horizontal pan showing the empty parking space, soft warm fluorescent lights flickering slightly.",鏡頭緩慢橫向平移展示空車位，上方溫暖的日光燈輕微閃爍。
3,scene_03.png,8 秒 (16 - 24秒),面對未知的電池壽命、昂貴的保險，以及五年後折舊變廢鐵的傳聞，讓您遲遲不敢下手？,"A smartphone screen displaying blurred Taiwanese news articles about electric car battery degradation and high insurance rates, dark atmospheric background, digital noise. Sleek cinematic lighting, premium dark tech theme, electric blue and emerald green neon highlights, hyper-realistic, professional color grading, shot on 35mm anamorphic lens.",智慧型手機螢幕上顯示著模糊的台灣新聞報導，標題涉及電動車電池衰退與高昂保費，暗色調背景，帶有數位雜訊。。極具質感的電影級光影、高階暗色科技主題、電光藍與翡翠綠的霓虹高光、極致寫實、專業色彩分級、35mm 變形鏡頭拍攝。,"Subtle camera tilt and digital glitch transition effect, focusing on the text on the screen.",鏡頭輕微傾斜，並帶有數位故障（Glitch）轉場效果，聚焦於螢幕上的文字。
4,scene_04.png,8 秒 (24 - 32秒),現在，這一切焦慮都將被終結。歡迎來到 TOYOTA EV LifePilot，您的純電生活領航員。,"A sleek black TOYOTA bZ4X electric SUV driving elegantly on a wet Taipei city street at night, iconic dual-C LED headlights glowing brightly, displaying a green-bordered Taiwan EV license plate ""EAL-8888"". Sleek cinematic lighting, premium dark tech theme, electric blue and emerald green neon highlights, hyper-realistic, professional color grading, shot on 35mm anamorphic lens.",一輛帥氣的黑色 TOYOTA bZ4X 純電 SUV 在夜間潮濕的台北街道上優雅行駛，標誌性的雙 C 型 LED 頭燈明亮閃爍，懸掛著綠色邊框的台灣電動車專用車牌「EAL-8888」。。極具質感的電影級光影、高階暗色科技主題、電光藍與翡翠綠的霓虹高光、極致寫實、專業色彩分級、35mm 變形鏡頭拍攝。,"Cinematic low-angle tracking shot, the car driving smoothly towards the camera, water splashing from the tires.",電影級低角度跟車追焦鏡頭，車輛平穩朝相機開來，輪胎濺起細微水花。
5,scene_05.png,8 秒 (32 - 40秒),這是一套結合數據智慧與溫暖共情的一站式決策系統，完美部署於官網與 LINE。,"A premium glassmorphism dashboard UI displayed on a high-tech screen, featuring glowing interactive cost comparison charts and an AI chatbot window with purple highlights. Sleek cinematic lighting, premium dark tech theme, electric blue and emerald green neon highlights, hyper-realistic, professional color grading, shot on 35mm anamorphic lens.",高科技螢幕上顯示著精美的毛玻璃（Glassmorphism）儀表板 UI，包含發光的互動式成本對比圖表與帶有紫色高光的 AI 聊天室視窗。。極具質感的電影級光影、高階暗色科技主題、電光藍與翡翠綠的霓虹高光、極致寫實、專業色彩分級、35mm 變形鏡頭拍攝。,"Smooth slider animation on the UI, subtle neon particle glow drifting across the screen.",UI 介面上滑桿平滑移動的動畫，微弱的霓虹粒子光芒在螢幕上飄散。
6,scene_06.png,8 秒 (40 - 48秒),只需輸入您的日常用車習慣，AI 便會啟動和泰 CDP 機器學習模型為您精算。,"Close-up of a hand sliding a digital mileage slider on a glowing touchscreen interface, showing numbers dynamically changing. Sleek cinematic lighting, premium dark tech theme, electric blue and emerald green neon highlights, hyper-realistic, professional color grading, shot on 35mm anamorphic lens.",特寫一隻手指在發光的觸控螢幕上滑動里程滑桿，螢幕上的數字動態改變。。極具質感的電影級光影、高階暗色科技主題、電光藍與翡翠綠的霓虹高光、極致寫實、專業色彩分級、35mm 變形鏡頭拍攝。,"Focus pull from the hand to the screen, showing the digital graph bars adjusting smoothly.",平滑推焦，將焦點從手指移到螢幕上，長條圖動態調整。
7,scene_07.png,8 秒 (48 - 56秒),精算省下的油資與定保費，直接幫您賺回一趟全家的歐洲雙人豪華旅遊基金！,"A split-screen graphic: left side shows a glowing golden text ""Save NT$ 320,000 in 5 Years"", right side shows a blurred elegant double exposure of a happy family and Eiffel Tower. Sleek cinematic lighting, premium dark tech theme, electric blue and emerald green neon highlights, hyper-realistic, professional color grading, shot on 35mm anamorphic lens.","分割畫面設計：左側顯示發光的金色文字「5年省下 NT$ 320,000」，右側是模糊且優雅的雙重曝光，顯示幸福家庭與艾菲爾鐵塔。。極具質感的電影級光影、高階暗色科技主題、電光藍與翡翠綠的霓虹高光、極致寫實、專業色彩分級、35mm 變形鏡頭拍攝。","Slow zoom out, golden particles rising up, creating a celebratory and rewarding feel.",緩慢向後拉遠鏡頭，金色粒子向上升騰，創造慶祝與獲得豐厚回報的氛圍。
8,scene_08.png,8 秒 (56 - 64秒),針對台灣真實路況，AI 一日生活模擬器將為您量身打造無憂的行駛能耗預估。,"A beautiful 3D digital topographic map of Taiwan, showing a glowing green route line winding through mountains from Taipei to Yilan, high-tech interface overlay. Sleek cinematic lighting, premium dark tech theme, electric blue and emerald green neon highlights, hyper-realistic, professional color grading, shot on 35mm anamorphic lens.",一幅精美的台灣 3D 數位地形圖，顯示一條綠色發光的路線從台北蜿蜒穿過山嶺抵達宜蘭，疊加高科技數據介面。。極具質感的電影級光影、高階暗色科技主題、電光藍與翡翠綠的霓虹高光、極致寫實、專業色彩分級、35mm 變形鏡頭拍攝。,3D camera fly-through following the green route line across the mountains.,3D 相機穿梭運鏡，跟隨綠色發光的路線飛越山脈。
9,scene_09.png,8 秒 (64 - 72秒),在擁擠的雪隧塞車時，車內是毫無引擎震動的靜音城堡，冷氣清新，不再吸入任何廢氣。,"Cozy warm interior of TOYOTA bZ4X back seats, a mother and a child sleeping peacefully, soft ambient lighting. Outside the window is a blurred traffic jam in the Hsuehshan Tunnel with red tail lights. Sleek cinematic lighting, premium dark tech theme, electric blue and emerald green neon highlights, hyper-realistic, professional color grading, shot on 35mm anamorphic lens.",TOYOTA bZ4X 後座溫馨明亮的車內座艙，媽媽與孩子安穩熟睡，車室氛圍燈柔和。車窗外是雪山隧道內塞車的紅色尾燈，背景模糊。。極具質感的電影級光影、高階暗色科技主題、電光藍與翡翠綠的霓虹高光、極致寫實、專業色彩分級、35mm 變形鏡頭拍攝。,"Slow drift inside the cabin, showing absolute silence and comfort contrasting with the traffic outside.",車室內慢速平移，呈現出極致的安靜與舒適，與窗外擁堵的交通形成強烈對比。
10,scene_10.png,8 秒 (72 - 80秒),下坡行駛時，按下中控台動能回收按鍵，回充系統啟動，甚至能讓您「越開電越多」，完美消除里程焦慮。,"Close-up of a driver's hand pressing the ""Regeneration Boost"" physical button next to the rotary shifter on the bZ4X center console. Sleek cinematic lighting, premium dark tech theme, electric blue and emerald green neon highlights, hyper-realistic, professional color grading, shot on 35mm anamorphic lens.",特寫司機的手指按下 bZ4X 中控台旋鈕排檔座旁的「Regeneration Boost (動能回收加強)」實體按鍵。。極具質感的電影級光影、高階暗色科技主題、電光藍與翡翠綠的霓虹高光、極致寫實、專業色彩分級、35mm 變形鏡頭拍攝。,"The finger presses the button, and a green glow animates around the button, transition to energy flow graphics.",手指按壓按鍵，按鍵周圍亮起綠色動態光環，隨即轉換為電能回充流動的視覺特效。
